"","eicu","mimic","p","test"
"sodium_min (mean (SD))","135.59 (5.28)","134.88 (5.03)","<0.001",""
"bun_max (mean (SD))","31.60 (23.54)","38.35 (25.72)","<0.001",""
"wbc_max (mean (SD))","14.71 (9.43)","15.91 (8.90)","<0.001",""
"rdw_min (mean (SD))","15.03 (2.21)","14.54 (1.89)","<0.001",""
"rdw_max (mean (SD))","15.45 (2.39)","15.12 (2.15)","<0.001",""
"doubled_creat = 1 (%)","911 (18.7)","464 (29.6)","<0.001",""
"gender = M (%)","2972 (60.0)","938 (59.5)","0.741",""
"rrt = 1 (%)","243 (4.9)","60 (3.8)","0.082",""
"vent = 1 (%)","1802 (36.4)","1030 (65.4)","<0.001",""
"iabp = 1 (%)","500 (11.8)","607 (38.5)","<0.001",""
"total_pressors (%)","","","<0.001",""
"   0","247 (5.0)","259 (16.4)","",""
"   1","3077 (62.1)","797 (50.6)","",""
"   2","1105 (22.3)","320 (20.3)","",""
"   3","354 (7.2)","125 (7.9)","",""
"   4","122 (2.5)","59 (3.7)","",""
"   5","42 (0.8)","12 (0.8)","",""
"   6","3 (0.1)","3 (0.2)","",""
"   7","1 (0.0)","1 (0.1)","",""
"any_pressor = 1 (%)","4704 (95.0)","1317 (83.6)","<0.001",""
"gcs (%)","","","<0.001",""
"   10","151 (4.0)","8 (0.5)","",""
"   11","132 (3.5)","9 (0.6)","",""
"   12","72 (1.9)","14 (0.9)","",""
"   13","120 (3.2)","22 (1.4)","",""
"   14","319 (8.5)","71 (4.5)","",""
"   15","2072 (55.4)","1410 (89.9)","",""
"   3","437 (11.7)","19 (1.2)","",""
"   4","23 (0.6)","0 (0.0)","",""
"   5","21 (0.6)","1 (0.1)","",""
"   6","99 (2.6)","3 (0.2)","",""
"   7","94 (2.5)","4 (0.3)","",""
"   8","82 (2.2)","3 (0.2)","",""
"   9","116 (3.1)","5 (0.3)","",""
"hospital_mortality = 1 (%)","712 (16.1)","398 (25.3)","<0.001",""
"age (mean (SD))","64.10 (14.57)","70.20 (13.50)","<0.001",""
"charlson_score (%)","","","<0.001",""
"   0","1528 (30.9)","93 (5.9)","",""
"   1","1364 (27.5)","342 (21.7)","",""
"   2","924 (18.7)","474 (30.1)","",""
"   3","556 (11.2)","384 (24.4)","",""
"   4","300 (6.1)","187 (11.9)","",""
"   5","134 (2.7)","66 (4.2)","",""
"   6","45 (0.9)","25 (1.6)","",""
"   7","24 (0.5)","5 (0.3)","",""
"   8","36 (0.7)","0 (0.0)","",""
"   9","24 (0.5)","0 (0.0)","",""
"   10","7 (0.1)","0 (0.0)","",""
"   11","8 (0.2)","0 (0.0)","",""
"   12","1 (0.0)","0 (0.0)","",""
"ethnicity (%)","","","<0.001",""
"   ASIAN","85 (1.7)","31 (2.0)","",""
"   BLACK","799 (16.1)","92 (5.8)","",""
"   HISPANIC","178 (3.6)","26 (1.6)","",""
"   OTHER","302 (6.1)","333 (21.1)","",""
"   WHITE","3587 (72.5)","1094 (69.4)","",""
"priormi = 1 (%)","780 (15.8)","839 (53.2)","<0.001",""
"chf = 1 (%)","1178 (23.8)","925 (58.7)","<0.001",""
"pvd = 1 (%)","0 (0.0)","194 (12.3)","<0.001",""
"dementia = 1 (%)","0 (0.0)","20 (1.3)","<0.001",""
"rheumd = 1 (%)","0 (0.0)","38 (2.4)","<0.001",""
"pud = 1 (%)","0 (0.0)","17 (1.1)","<0.001",""
"mld = 1 (%)","0 (0.0)","135 (8.6)","<0.001",""
"cancer = 1 (%)","608 (12.3)","71 (4.5)","<0.001",""
"msld = 1 (%)","0 (0.0)","22 (1.4)","<0.001",""
"met = 1 (%)","74 (1.5)","22 (1.4)","0.870",""
"aids = 1 (%)","0 (0.0)","11 (0.7)","<0.001",""
"scai_shock (%)","","","<0.001",""
"   C","507 (10.2)","265 (16.8)","",""
"   D","4087 (82.5)","984 (62.4)","",""
"   E","357 (7.2)","327 (20.7)","",""
"shock_index (mean (SD))","1.08 (0.40)","0.81 (0.22)","<0.001",""
"any_inotrope = 1 (%)","759 (15.3)","860 (54.6)","<0.001",""
